Num1,Num2,Num3,Num4,Num5,Num6,Dream
1.5773846,3.9712954,9.723458,16.510433,19.150236,27.332253,2.379409
4.243985,10.48172,17.053848,21.713625,27.08732,33.645977,2.9466019
11.278444,17.99042,23.410223,27.860653,32.25544,37.123894,2.077177
3.5390356,9.534205,16.09177,20.963076,26.121103,32.999954,2.9706028
11.51278,18.169638,23.478168,27.91105,32.240524,37.099373,2.0573273
4.58272,11.083818,17.837494,22.332218,27.858467,34.157215,2.92669
8.3878565,15.093984,20.981276,25.369455,30.698587,35.87611,2.5153391
4.371391,10.652977,17.20416,21.83946,27.245659,33.731945,2.944623
12.419556,19.018574,24.306158,28.643408,32.590347,37.506268,1.9214112
5.655025,12.454077,19.250847,23.565245,29.214586,35.019276,2.812523
5.6549816,12.285309,18.795332,23.237514,28.813185,34.730927,2.8373442
1.380335,3.5820837,9.418418,16.365849,18.869215,27.035402,2.3147495
3.115202,8.4847975,14.848258,20.051794,24.61765,31.911306,2.9100006
4.034309,10.317802,16.999893,21.651022,27.049614,33.630623,2.960094
